,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
128,10.0,S,5.0,ring,1.0,1,ring,5791.0,R.pool350,E9pool
129,10.0,S,5.0,spring,2.0,2,spring,7129.0,R.pool350,E9pool
130,10.0,S,5.0,string,3.0,3,string,7731.0,R.pool350,E9pool
131,10.0,S,5.0,wing,4.0,4,wing,8541.0,R.pool350,E9pool
132,10.0,S,6.0,doll,0.0,0,dall,7040.0,R.pool350,E9pool
133,10.0,S,6.0,ball,1.0,1,ball,6597.0,R.pool350,E9pool
134,10.0,S,6.0,shawl,2.0,2,shawl,8229.0,R.pool350,E9pool
135,10.0,S,6.0,hall,3.0,3,,7395.0,R.pool350,E9pool
136,10.0,S,6.0,brawl,4.0,,,9233.0,R.pool350,E9pool
137,10.0,S,6.0,wall,5.0,,,8797.0,R.pool350,E9pool
138,10.0,D,7.0,path,0.0,0,path,7454.0,R.pool350,E9pool
139,10.0,D,7.0,nest,1.0,1,nest,5971.0,R.pool350,E9pool
140,10.0,D,7.0,square,2.0,2,square,7660.0,R.pool350,E9pool
141,10.0,D,7.0,wood,3.0,3,beach,6848.0,R.pool350,E9pool
142,10.0,D,7.0,beach,4.0,,,7223.0,R.pool350,E9pool
143,10.0,D,8.0,coin,0.0,0,coin,6069.0,R.pool350,E9pool
144,10.0,D,8.0,film,1.0,1,film,5899.0,R.pool350,E9pool
145,10.0,D,8.0,leaf,2.0,2,leaf,7152.0,R.pool350,E9pool
146,10.0,D,8.0,train,3.0,3,map,8017.0,R.pool350,E9pool
147,10.0,D,8.0,map,4.0,4,,7110.0,R.pool350,E9pool
148,10.0,D,8.0,art,5.0,,,6225.0,R.pool350,E9pool
149,10.0,S,9.0,bread,0.0,0,bread,6638.0,R.pool350,E9pool
150,10.0,S,9.0,head,1.0,1,head,7253.0,R.pool350,E9pool
151,10.0,S,9.0,thread,2.0,2,thread,7161.0,R.pool350,E9pool
152,10.0,S,9.0,bed,3.0,3,bed,6665.0,R.pool350,E9pool
153,10.0,D,10.0,rice,0.0,0,rice,6316.0,R.pool350,E9pool
154,10.0,D,10.0,cat,1.0,1,cat,7280.0,R.pool350,E9pool
155,10.0,D,10.0,trash,2.0,2,trash,6893.0,R.pool350,E9pool
156,10.0,D,11.0,neck,0.0,0,neck,5890.0,R.pool350,E9pool
157,10.0,D,11.0,town,1.0,1,town,5424.0,R.pool350,E9pool
158,10.0,D,11.0,hat,2.0,2,hat,7657.0,R.pool350,E9pool
159,10.0,D,11.0,street,3.0,3,street,8790.0,R.pool350,E9pool
160,10.0,S,12.0,bone,0.0,0,bone,5781.0,R.pool350,E9pool
161,10.0,S,12.0,phone,1.0,1,phone,5767.0,R.pool350,E9pool
162,10.0,S,12.0,stone,2.0,2,stone,7680.0,R.pool350,E9pool
163,10.0,D,13.0,ant,0.0,0,ant,5961.0,R.pool350,E9pool
164,10.0,D,13.0,air,1.0,1,air,6195.0,R.pool350,E9pool
165,10.0,D,13.0,ink,2.0,2,ink,5980.0,R.pool350,E9pool
166,10.0,D,13.0,cloud,3.0,3,cloud,8509.0,R.pool350,E9pool
167,10.0,D,13.0,seat,4.0,4,breath,7351.0,R.pool350,E9pool
168,10.0,D,13.0,breath,5.0,,,8783.0,R.pool350,E9pool
169,10.0,S,14.0,deer,0.0,0,deer,5819.0,R.pool350,E9pool
170,10.0,S,14.0,sphere,1.0,1,sphere,5618.0,R.pool350,E9pool
171,10.0,S,14.0,ear,2.0,2,ear,7497.0,R.pool350,E9pool
172,10.0,S,14.0,tear,3.0,3,tear,5677.0,R.pool350,E9pool
173,10.0,S,15.0,jar,0.0,0,jar,7275.0,R.pool350,E9pool
174,10.0,S,15.0,bar,1.0,1,bar,5704.0,R.pool350,E9pool
175,10.0,S,15.0,car,2.0,2,car,5564.0,R.pool350,E9pool
176,10.0,S,15.0,scar,3.0,3,scar,8078.0,R.pool350,E9pool
177,10.0,S,15.0,star,4.0,,,6458.0,R.pool350,E9pool
178,10.0,D,16.0,toy,0.0,0,toy,5650.0,R.pool350,E9pool
179,10.0,D,16.0,wreck,1.0,1,wreck,8705.0,R.pool350,E9pool
180,10.0,D,16.0,frown,2.0,2,brown,7363.0,R.pool350,E9pool
181,10.0,D,17.0,spice,0.0,0,spice,6137.0,R.pool350,E9pool
182,10.0,D,17.0,heat,1.0,1,heat,7211.0,R.pool350,E9pool
