,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
108,53.0,D,26.0,2.0,square,2,square,2752.0,spOspan.noVer,E7
109,53.0,D,26.0,3.0,wood,3,wood,3549.0,spOspan.noVer,E7
110,53.0,D,26.0,4.0,beach,4,beach,3554.0,spOspan.noVer,E7
111,53.0,D,27.0,0.0,spice,0,spice,3111.0,spOspan.noVer,E7
112,53.0,D,27.0,1.0,heat,1,heat,3758.0,spOspan.noVer,E7
113,53.0,D,27.0,2.0,shape,2,shape,3426.0,spOspan.noVer,E7
114,53.0,D,27.0,3.0,pear,3,guest,4291.0,spOspan.noVer,E7
115,53.0,D,27.0,4.0,guest,,,3578.0,spOspan.noVer,E7
116,55.0,P,0.0,0.0,hood,0,hood,,spOspan.noVer,E7
117,55.0,P,0.0,1.0,wood,1,wood,,spOspan.noVer,E7
118,55.0,P,1.0,0.0,bath,0,bath,,spOspan.noVer,E7
119,55.0,P,1.0,1.0,dawn,1,dawn,,spOspan.noVer,E7
120,55.0,P,2.0,0.0,farm,0,farm,,spOspan.noVer,E7
121,55.0,P,2.0,1.0,arm,1,arm,,spOspan.noVer,E7
122,55.0,P,3.0,0.0,earth,0,earth,,spOspan.noVer,E7
123,55.0,P,3.0,1.0,peach,1,peach,,spOspan.noVer,E7
124,55.0,S,4.0,0.0,boot,0,,3497.0,spOspan.noVer,E7
125,55.0,S,4.0,1.0,suit,1,suit,3025.0,spOspan.noVer,E7
126,55.0,S,4.0,2.0,flute,2,root,3532.0,spOspan.noVer,E7
127,55.0,S,4.0,3.0,loot,3,brute,4841.0,spOspan.noVer,E7
128,55.0,S,4.0,4.0,root,4,flute,3577.0,spOspan.noVer,E7
129,55.0,S,4.0,5.0,brute,,,3597.0,spOspan.noVer,E7
130,55.0,S,5.0,0.0,jar,0,jar,3334.0,spOspan.noVer,E7
131,55.0,S,5.0,1.0,bar,1,bar,3301.0,spOspan.noVer,E7
132,55.0,S,5.0,2.0,car,2,car,3708.0,spOspan.noVer,E7
133,55.0,S,5.0,3.0,scar,3,scar,3554.0,spOspan.noVer,E7
134,55.0,S,5.0,4.0,star,4,star,4397.0,spOspan.noVer,E7
135,55.0,S,6.0,0.0,blouse,0,blouse,4552.0,spOspan.noVer,E7
136,55.0,S,6.0,1.0,house,1,house,3475.0,spOspan.noVer,E7
137,55.0,S,6.0,2.0,mouse,2,mouse,3643.0,spOspan.noVer,E7
138,55.0,S,7.0,0.0,bread,0,head,3120.0,spOspan.noVer,E7
139,55.0,S,7.0,1.0,head,1,bread,2965.0,spOspan.noVer,E7
140,55.0,S,7.0,2.0,thread,2,,3380.0,spOspan.noVer,E7
141,55.0,S,7.0,3.0,bed,,,3704.0,spOspan.noVer,E7
142,55.0,S,8.0,0.0,king,0,king,4279.0,spOspan.noVer,E7
143,55.0,S,8.0,1.0,ring,1,ring,2992.0,spOspan.noVer,E7
144,55.0,S,8.0,2.0,spring,2,,3219.0,spOspan.noVer,E7
145,55.0,S,8.0,3.0,string,3,string,3557.0,spOspan.noVer,E7
146,55.0,S,8.0,4.0,wing,,,3298.0,spOspan.noVer,E7
147,55.0,S,9.0,0.0,band,0,band,3154.0,spOspan.noVer,E7
148,55.0,S,9.0,1.0,land,1,land,3335.0,spOspan.noVer,E7
149,55.0,S,9.0,2.0,stand,2,stand,2869.0,spOspan.noVer,E7
150,55.0,S,9.0,3.0,hand,3,hand,3309.0,spOspan.noVer,E7
151,55.0,S,10.0,0.0,doll,0,doll,3088.0,spOspan.noVer,E7
152,55.0,S,10.0,1.0,ball,1,ball,3192.0,spOspan.noVer,E7
153,55.0,S,10.0,2.0,shawl,2,shawl,3164.0,spOspan.noVer,E7
154,55.0,S,10.0,3.0,hall,3,,3384.0,spOspan.noVer,E7
155,55.0,S,10.0,4.0,brawl,4,brawl,3764.0,spOspan.noVer,E7
156,55.0,S,10.0,5.0,wall,,,3649.0,spOspan.noVer,E7
157,55.0,S,11.0,0.0,cream,0,cream,3418.0,spOspan.noVer,E7
158,55.0,S,11.0,1.0,team,1,team,2949.0,spOspan.noVer,E7
159,55.0,S,11.0,2.0,steam,2,steam,3667.0,spOspan.noVer,E7
160,55.0,S,12.0,0.0,deer,0,deer,3392.0,spOspan.noVer,E7
161,55.0,S,12.0,1.0,sphere,1,sphere,3291.0,spOspan.noVer,E7
162,55.0,S,12.0,2.0,ear,2,,3764.0,spOspan.noVer,E7
163,55.0,S,12.0,3.0,tear,3,tear,4079.0,spOspan.noVer,E7
164,55.0,S,13.0,0.0,mail,0,mail,4056.0,spOspan.noVer,E7
165,55.0,S,13.0,1.0,sail,1,sail,4026.0,spOspan.noVer,E7
166,55.0,S,13.0,2.0,trail,2,trail,4715.0,spOspan.noVer,E7
167,55.0,S,13.0,3.0,wail,3,,4704.0,spOspan.noVer,E7
168,55.0,S,13.0,4.0,tail,4,,3373.0,spOspan.noVer,E7
169,55.0,S,13.0,5.0,jail,5,jail,3865.0,spOspan.noVer,E7
170,55.0,S,14.0,0.0,bone,0,bone,3305.0,spOspan.noVer,E7
171,55.0,S,14.0,1.0,phone,1,phone,3080.0,spOspan.noVer,E7
172,55.0,S,14.0,2.0,stone,2,stone,3391.0,spOspan.noVer,E7
173,55.0,S,15.0,0.0,pie,0,pie,3839.0,spOspan.noVer,E7
174,55.0,S,15.0,1.0,fly,1,fly,3090.0,spOspan.noVer,E7
175,55.0,S,15.0,2.0,tie,2,sky,3529.0,spOspan.noVer,E7
176,55.0,S,15.0,3.0,sky,3,,3653.0,spOspan.noVer,E7
177,55.0,S,15.0,4.0,eye,4,eye,4232.0,spOspan.noVer,E7
178,55.0,D,16.0,0.0,chest,0,chest,4747.0,spOspan.noVer,E7
179,55.0,D,16.0,1.0,lane,1,lane,2990.0,spOspan.noVer,E7
180,55.0,D,16.0,2.0,hair,2,hair,3643.0,spOspan.noVer,E7
181,55.0,D,16.0,3.0,crown,3,crown,3867.0,spOspan.noVer,E7
182,55.0,D,17.0,0.0,rice,0,rice,3037.0,spOspan.noVer,E7
183,55.0,D,17.0,1.0,cat,1,cat,2567.0,spOspan.noVer,E7
184,55.0,D,17.0,2.0,trash,2,trash,4148.0,spOspan.noVer,E7
185,55.0,D,18.0,0.0,shell,0,shell,3628.0,spOspan.noVer,E7
186,55.0,D,18.0,1.0,tree,1,broom,2750.0,spOspan.noVer,E7
187,55.0,D,18.0,2.0,bowl,2,,4147.0,spOspan.noVer,E7
188,55.0,D,18.0,3.0,broom,3,test,5631.0,spOspan.noVer,E7
189,55.0,D,18.0,4.0,test,4,ground,4222.0,spOspan.noVer,E7
190,55.0,D,18.0,5.0,ground,,,4008.0,spOspan.noVer,E7
191,55.0,D,19.0,0.0,coin,0,coin,3892.0,spOspan.noVer,E7
192,55.0,D,19.0,1.0,film,1,film,4668.0,spOspan.noVer,E7
193,55.0,D,19.0,2.0,leaf,2,leaf,3651.0,spOspan.noVer,E7
194,55.0,D,19.0,3.0,train,3,train,4628.0,spOspan.noVer,E7
