"","Subject","task","folder","trialtype","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"171","41","R.pool60","E9poolb","D",0.759259259259259,0.907407407407407,1,0.0925925925925926,0.148148148148148,NA,NA,0,0.836734693877551
"172","41","R.pool60","E9poolb","S",0.833333333333333,0.907407407407407,1,0.0740740740740741,0.0740740740740741,NA,NA,0,0.918367346938776
"173","42","Rspan.long","E2","D",0.407407407407407,0.518518518518518,1,0.425925925925926,0.111111111111111,NA,NA,0.0185185185185185,0.785714285714286
"174","42","Rspan.long","E2","S",0.462962962962963,0.574074074074074,1,0.425925925925926,0.111111111111111,NA,NA,0,0.806451612903226
"175","42","R.pool30","E9poolb","D",0.5,0.666666666666667,1,0.185185185185185,0.166666666666667,NA,NA,0.0185185185185185,0.75
"176","42","R.pool30","E9poolb","S",0.555555555555556,0.796296296296296,1,0.148148148148148,0.240740740740741,NA,NA,0,0.697674418604651
"177","43","Rspan.short","E2","D",0.703703703703704,0.777777777777778,1,0.203703703703704,0.0740740740740741,NA,NA,0,0.904761904761905
"178","43","Rspan.short","E2","S",0.462962962962963,0.703703703703704,1,0.277777777777778,0.240740740740741,NA,NA,0,0.657894736842105
"179","43","R.pool10","E9poolb","D",0.777777777777778,0.777777777777778,1,0.203703703703704,0,NA,NA,0,1
"180","43","R.pool10","E9poolb","S",0.722222222222222,0.814814814814815,1,0.166666666666667,0.0925925925925926,NA,NA,0,0.886363636363636
"181","44","Rspan.long","E2","D",0.425925925925926,0.537037037037037,1,0.37037037037037,0.111111111111111,NA,NA,0.0185185185185185,0.793103448275862
"182","44","Rspan.long","E2","S",0.481481481481481,0.722222222222222,1,0.259259259259259,0.240740740740741,NA,NA,0,0.666666666666667
"183","44","R.pool15","E9poolb","D",0.277777777777778,0.574074074074074,1,0.296296296296296,0.296296296296296,NA,NA,0.0185185185185185,0.483870967741935
"184","44","R.pool15","E9poolb","S",0.407407407407407,0.796296296296296,1,0.185185185185185,0.388888888888889,NA,NA,0,0.511627906976744
"185","45","Rspan.short","E2","D",0.444444444444444,0.518518518518518,1,0.444444444444444,0.0740740740740741,NA,NA,0,0.857142857142857
"186","45","Rspan.short","E2","S",0.62962962962963,0.666666666666667,1,0.314814814814815,0.037037037037037,NA,NA,0,0.944444444444445
"187","46","Rspan.long","E2","D",0.648148148148148,0.777777777777778,1,0.222222222222222,0.12962962962963,NA,NA,0,0.833333333333333
"188","46","Rspan.long","E2","S",0.888888888888889,0.925925925925926,1,0.0555555555555556,0.037037037037037,NA,NA,0,0.96
"189","46","R.pool15","E9poolb","D",0.759259259259259,0.833333333333333,1,0.166666666666667,0.0740740740740741,NA,NA,0,0.911111111111111
"190","46","R.pool15","E9poolb","S",0.907407407407407,0.925925925925926,1,0.0740740740740741,0.0185185185185185,NA,NA,0,0.98
"191","47","Rspan.short","E2","D",0.444444444444444,0.62962962962963,1,0.333333333333333,0.185185185185185,NA,NA,0.037037037037037,0.705882352941176
"192","47","Rspan.short","E2","S",0.444444444444444,0.666666666666667,1,0.296296296296296,0.222222222222222,NA,NA,0,0.666666666666667
"193","47","R.pool60","E9poolb","D",0.611111111111111,0.703703703703704,1,0.277777777777778,0.0925925925925926,NA,NA,0,0.868421052631579
"194","47","R.pool60","E9poolb","S",0.777777777777778,0.833333333333333,1,0.148148148148148,0.0555555555555556,NA,NA,0,0.933333333333333
"195","48","R.pool10","E9poolb","D",0.740740740740741,0.833333333333333,1,0.148148148148148,0.0925925925925926,NA,NA,0.0185185185185185,0.888888888888889
"196","48","R.pool10","E9poolb","S",0.777777777777778,0.833333333333333,1,0.166666666666667,0.0555555555555556,NA,NA,0,0.933333333333333
"197","49","Rspan.short","E2","D",0.351851851851852,0.462962962962963,1,0.462962962962963,0.111111111111111,NA,NA,0.037037037037037,0.76
"198","49","Rspan.short","E2","S",0.537037037037037,0.62962962962963,1,0.333333333333333,0.0925925925925926,NA,NA,0,0.852941176470588
"199","49","R.pool60","E9poolb","D",0.388888888888889,0.592592592592593,1,0.351851851851852,0.203703703703704,NA,NA,0,0.65625
"200","49","R.pool60","E9poolb","S",0.537037037037037,0.648148148148148,1,0.277777777777778,0.111111111111111,NA,NA,0,0.828571428571429
"201","50","R.pool15","E9poolb","D",0.796296296296296,0.814814814814815,1,0.148148148148148,0.0185185185185185,NA,NA,0.0185185185185185,0.977272727272727
"202","50","R.pool15","E9poolb","S",0.740740740740741,0.814814814814815,1,0.148148148148148,0.0740740740740741,NA,NA,0,0.909090909090909
"203","51","Rspan.short","E2","D",0.425925925925926,0.666666666666667,1,0.314814814814815,0.240740740740741,NA,NA,0,0.638888888888889
"204","51","Rspan.short","E2","S",0.722222222222222,0.796296296296296,1,0.203703703703704,0.0740740740740741,NA,NA,0,0.906976744186047
"205","51","R.pool15","E9poolb","D",0.537037037037037,0.759259259259259,1,0.222222222222222,0.222222222222222,NA,NA,0.0185185185185185,0.707317073170732
"206","51","R.pool15","E9poolb","S",0.648148148148148,0.814814814814815,1,0.185185185185185,0.166666666666667,NA,NA,0,0.795454545454546
"207","52","R.pool30","E9poolb","D",0.62962962962963,0.759259259259259,1,0.222222222222222,0.12962962962963,NA,NA,0.0185185185185185,0.829268292682927
"208","52","R.pool30","E9poolb","S",0.574074074074074,0.740740740740741,1,0.240740740740741,0.166666666666667,NA,NA,0,0.775
"209","53","spOspan.noVer","E7","D",0.777777777777778,0.87037037037037,1,0.0925925925925926,0.0925925925925926,NA,NA,0.0185185185185185,0.893617021276596
"210","53","spOspan.noVer","E7","S",0.685185185185185,0.796296296296296,1,0.166666666666667,0.111111111111111,NA,NA,0,0.86046511627907
"211","53","R.pool10","E9poolb","D",0.759259259259259,0.851851851851852,1,0.148148148148148,0.0925925925925926,NA,NA,0,0.891304347826087
"212","53","R.pool10","E9poolb","S",0.722222222222222,0.759259259259259,1,0.240740740740741,0.037037037037037,NA,NA,0,0.951219512195122
"213","54","R.scramb","E7","D",0.777777777777778,0.833333333333333,1,0.166666666666667,0.0555555555555556,NA,NA,0,0.933333333333333
"214","54","R.scramb","E7","S",0.777777777777778,0.851851851851852,1,0.148148148148148,0.0740740740740741,NA,NA,0,0.91304347826087
"215","54","R.pool10","E9poolb","D",0.703703703703704,0.722222222222222,1,0.259259259259259,0.0185185185185185,NA,NA,0.0185185185185185,0.974358974358974
"216","54","R.pool10","E9poolb","S",0.833333333333333,0.888888888888889,1,0.0925925925925926,0.0555555555555556,NA,NA,0,0.9375
"217","55","spOspan.noVer","E7","D",0.740740740740741,0.833333333333333,1,0.148148148148148,0.0925925925925926,NA,NA,0,0.888888888888889
"218","55","spOspan.noVer","E7","S",0.666666666666667,0.777777777777778,1,0.222222222222222,0.111111111111111,NA,NA,0,0.857142857142857
"219","55","R.pool30","E9poolb","D",0.314814814814815,0.388888888888889,1,0.462962962962963,0.0740740740740741,NA,NA,0.037037037037037,0.80952380952381
"220","55","R.pool30","E9poolb","S",0.314814814814815,0.648148148148148,1,0.296296296296296,0.333333333333333,NA,NA,0,0.485714285714286
"221","56","R.pool60","E9poolb","D",0.481481481481481,0.62962962962963,1,0.314814814814815,0.148148148148148,NA,NA,0,0.764705882352941
"222","56","R.pool60","E9poolb","S",0.611111111111111,0.777777777777778,1,0.166666666666667,0.166666666666667,NA,NA,0,0.785714285714286
"223","57","spOspan.noVer","E7","D",0.666666666666667,0.925925925925926,1,0.0555555555555556,0.259259259259259,NA,NA,0,0.72
"224","57","spOspan.noVer","E7","S",0.833333333333333,0.87037037037037,1,0.12962962962963,0.037037037037037,NA,NA,0,0.957446808510638
