"","Subject","task","trialtype","ACC.transdist","freq"
"249","13","R.pool350","S",0,33
"250","13","R.pool350","S",1,4
"251","13","R.pool350","S",NA,14
"252","13","Rspan.short","D",-4,2
"253","13","Rspan.short","D",-3,6
"254","13","Rspan.short","D",-2,8
"255","13","Rspan.short","D",-1,3
"256","13","Rspan.short","D",0,12
"257","13","Rspan.short","D",NA,23
"258","13","Rspan.short","S",-4,2
"259","13","Rspan.short","S",-2,3
"260","13","Rspan.short","S",-1,12
"261","13","Rspan.short","S",0,19
"262","13","Rspan.short","S",1,1
"263","13","Rspan.short","S",NA,17
"264","14","Ospan.reg","D",-1,5
"265","14","Ospan.reg","D",0,38
"266","14","Ospan.reg","D",NA,11
"267","14","Ospan.reg","S",-2,2
"268","14","Ospan.reg","S",-1,4
"269","14","Ospan.reg","S",0,34
"270","14","Ospan.reg","S",1,2
"271","14","Ospan.reg","S",NA,12
"272","14","R.pool350","D",-2,1
"273","14","R.pool350","D",0,46
"274","14","R.pool350","D",NA,7
"275","14","R.pool350","S",-1,1
"276","14","R.pool350","S",0,49
"277","14","R.pool350","S",1,1
"278","14","R.pool350","S",NA,5
"279","14","Rspan.long","D",-3,1
"280","14","Rspan.long","D",0,28
"281","14","Rspan.long","D",1,6
"282","14","Rspan.long","D",3,1
"283","14","Rspan.long","D",NA,19
"284","14","Rspan.long","S",-2,1
"285","14","Rspan.long","S",-1,6
"286","14","Rspan.long","S",0,33
"287","14","Rspan.long","S",1,5
"288","14","Rspan.long","S",2,1
"289","14","Rspan.long","S",NA,8
"290","15","Ospan.reg","D",-1,4
"291","15","Ospan.reg","D",0,25
"292","15","Ospan.reg","D",1,5
"293","15","Ospan.reg","D",NA,20
"294","15","Ospan.reg","S",-3,2
"295","15","Ospan.reg","S",-2,4
"296","15","Ospan.reg","S",-1,5
"297","15","Ospan.reg","S",0,22
"298","15","Ospan.reg","S",1,2
"299","15","Ospan.reg","S",2,2
"300","15","Ospan.reg","S",3,1
"301","15","Ospan.reg","S",4,1
"302","15","Ospan.reg","S",NA,15
"303","15","Rspan.short","D",-1,6
"304","15","Rspan.short","D",0,26
"305","15","Rspan.short","D",1,1
"306","15","Rspan.short","D",NA,21
"307","15","Rspan.short","S",-1,5
"308","15","Rspan.short","S",0,30
"309","15","Rspan.short","S",1,6
"310","15","Rspan.short","S",2,2
"311","15","Rspan.short","S",NA,11
"312","16","Ospan.reg","D",-1,4
"313","16","Ospan.reg","D",0,41
"314","16","Ospan.reg","D",2,1
"315","16","Ospan.reg","D",NA,8
"316","16","Ospan.reg","S",-5,1
"317","16","Ospan.reg","S",-2,2
"318","16","Ospan.reg","S",-1,7
"319","16","Ospan.reg","S",0,30
"320","16","Ospan.reg","S",1,1
"321","16","Ospan.reg","S",NA,14
"322","16","Rspan.long","D",-2,3
"323","16","Rspan.long","D",-1,5
"324","16","Rspan.long","D",0,23
"325","16","Rspan.long","D",1,2
"326","16","Rspan.long","D",NA,22
"327","16","Rspan.long","S",-3,1
"328","16","Rspan.long","S",-2,1
"329","16","Rspan.long","S",-1,7
"330","16","Rspan.long","S",0,33
"331","16","Rspan.long","S",NA,12
"332","17","Ospan.reg","D",-3,1
"333","17","Ospan.reg","D",-2,2
"334","17","Ospan.reg","D",-1,11
"335","17","Ospan.reg","D",0,23
"336","17","Ospan.reg","D",1,2
"337","17","Ospan.reg","D",NA,15
"338","17","Ospan.reg","S",-3,1
"339","17","Ospan.reg","S",-2,7
"340","17","Ospan.reg","S",-1,4
"341","17","Ospan.reg","S",0,15
"342","17","Ospan.reg","S",1,6
"343","17","Ospan.reg","S",2,1
"344","17","Ospan.reg","S",NA,20
"345","17","Rspan.short","D",-1,12
"346","17","Rspan.short","D",0,13
"347","17","Rspan.short","D",NA,30
"348","17","Rspan.short","S",-2,2
"349","17","Rspan.short","S",-1,6
"350","17","Rspan.short","S",0,16
"351","17","Rspan.short","S",1,2
"352","17","Rspan.short","S",2,3
"353","17","Rspan.short","S",NA,25
"354","17","R.pool10","D",-2,2
"355","17","R.pool10","D",-1,4
"356","17","R.pool10","D",0,10
"357","17","R.pool10","D",1,2
"358","17","R.pool10","D",3,1
"359","17","R.pool10","D",NA,35
"360","17","R.pool10","S",-3,1
"361","17","R.pool10","S",-2,2
"362","17","R.pool10","S",-1,7
"363","17","R.pool10","S",0,22
"364","17","R.pool10","S",1,3
"365","17","R.pool10","S",NA,19
"366","18","Ospan.reg","D",-1,2
"367","18","Ospan.reg","D",0,40
"368","18","Ospan.reg","D",1,2
"369","18","Ospan.reg","D",NA,10
"370","18","Ospan.reg","S",-3,1
"371","18","Ospan.reg","S",-1,3
"372","18","Ospan.reg","S",0,34
"373","18","Ospan.reg","S",1,2
"374","18","Ospan.reg","S",NA,14
"375","18","Rspan.long","D",-1,4
"376","18","Rspan.long","D",0,33
"377","18","Rspan.long","D",2,1
"378","18","Rspan.long","D",3,1
"379","18","Rspan.long","D",NA,15
"380","18","Rspan.long","S",-3,1
"381","18","Rspan.long","S",-2,4
"382","18","Rspan.long","S",-1,5
"383","18","Rspan.long","S",0,28
"384","18","Rspan.long","S",1,3
"385","18","Rspan.long","S",2,2
"386","18","Rspan.long","S",3,2
"387","18","Rspan.long","S",NA,14
"388","18","R.pool10","D",-5,1
"389","18","R.pool10","D",-4,4
"390","18","R.pool10","D",-3,2
"391","18","R.pool10","D",-2,2
"392","18","R.pool10","D",-1,6
"393","18","R.pool10","D",0,15
"394","18","R.pool10","D",1,3
"395","18","R.pool10","D",2,4
"396","18","R.pool10","D",NA,17
"397","18","R.pool10","S",-3,1
"398","18","R.pool10","S",-2,5
"399","18","R.pool10","S",-1,5
"400","18","R.pool10","S",0,27
"401","18","R.pool10","S",1,1
"402","18","R.pool10","S",2,1
"403","18","R.pool10","S",3,1
"404","18","R.pool10","S",NA,13
"405","19","Ospan.reg","D",-1,5
"406","19","Ospan.reg","D",0,18
"407","19","Ospan.reg","D",1,2
"408","19","Ospan.reg","D",NA,29
"409","19","Ospan.reg","S",-1,5
"410","19","Ospan.reg","S",0,16
"411","19","Ospan.reg","S",1,2
