"","Subject","task","folder","trialtype","triallen","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"129","9","Ospan.reg","E4","D",3,1,1,1,0,0,0,0,0,1
"130","9","Ospan.reg","E4","D",4,0.75,0.916666666666667,1,0.0833333333333333,0.166666666666667,NA,NA,0,0.818181818181818
"131","9","Ospan.reg","E4","D",5,0.666666666666667,0.8,1,0.2,0.133333333333333,NA,NA,0,0.833333333333333
"132","9","Ospan.reg","E4","D",6,0.444444444444444,0.611111111111111,1,0.333333333333333,0.166666666666667,NA,NA,0,0.727272727272727
"133","9","Ospan.reg","E4","S",3,1,1,1,0,0,0,0,0,1
"134","9","Ospan.reg","E4","S",4,1,1,1,0,0,0,0,0,1
"135","9","Ospan.reg","E4","S",5,0.733333333333333,0.8,1,0.133333333333333,0.0666666666666667,NA,NA,0,0.916666666666667
"136","9","Ospan.reg","E4","S",6,0.722222222222222,0.833333333333333,1,0.111111111111111,0.111111111111111,NA,NA,0,0.866666666666667
"137","9","R.pool350","E9pool","D",3,1,1,1,0,0,0,0,0,1
"138","9","R.pool350","E9pool","D",4,0.833333333333333,0.833333333333333,1,0.166666666666667,0,NA,NA,0,1
"139","9","R.pool350","E9pool","D",5,0.6,0.733333333333333,1,0.266666666666667,0.133333333333333,NA,NA,0,0.818181818181818
"140","9","R.pool350","E9pool","D",6,0.388888888888889,0.555555555555556,1,0.444444444444444,0.166666666666667,NA,NA,0,0.7
"141","9","R.pool350","E9pool","S",3,1,1,1,0,0,0,0,0,1
"142","9","R.pool350","E9pool","S",4,0.833333333333333,0.833333333333333,1,0.166666666666667,0,NA,NA,0,1
"143","9","R.pool350","E9pool","S",5,0.533333333333333,0.6,1,0.4,0.0666666666666667,NA,NA,0,0.888888888888889
"144","9","R.pool350","E9pool","S",6,0.388888888888889,0.666666666666667,1,0.277777777777778,0.277777777777778,NA,NA,0,0.583333333333333
"145","10","R.pool350","E9pool","D",3,0.888888888888889,0.888888888888889,1,0,0,NA,NA,0,1
"146","10","R.pool350","E9pool","D",4,0.916666666666667,0.916666666666667,1,0,0,NA,NA,0.0833333333333333,1
"147","10","R.pool350","E9pool","D",5,0.866666666666667,0.933333333333333,1,0.0666666666666667,0.0666666666666667,NA,NA,0,0.928571428571429
"148","10","R.pool350","E9pool","D",6,0.555555555555556,0.666666666666667,1,0.333333333333333,0.111111111111111,NA,NA,0,0.833333333333333
"149","10","R.pool350","E9pool","S",3,0.666666666666667,0.777777777777778,1,0.222222222222222,0.111111111111111,NA,NA,0,0.857142857142857
"150","10","R.pool350","E9pool","S",4,0.833333333333333,0.916666666666667,1,0.0833333333333333,0.0833333333333333,NA,NA,0,0.909090909090909
"151","10","R.pool350","E9pool","S",5,0.933333333333333,0.933333333333333,1,0.0666666666666667,0,NA,NA,0,1
"152","10","R.pool350","E9pool","S",6,0.5,0.611111111111111,1,0.277777777777778,0.111111111111111,NA,NA,0,0.818181818181818
"153","10","Rspan.long","E2","D",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"154","10","Rspan.long","E2","D",4,0.333333333333333,0.5,1,0.5,0.166666666666667,NA,NA,0,0.666666666666667
"155","10","Rspan.long","E2","D",5,0.266666666666667,0.333333333333333,1,0.6,0.0666666666666667,NA,NA,0.0666666666666667,0.8
"156","10","Rspan.long","E2","D",6,0.166666666666667,0.444444444444444,1,0.555555555555556,0.277777777777778,NA,NA,0,0.375
"157","10","Rspan.long","E2","S",3,1,1,1,0,0,NA,NA,0,1
"158","10","Rspan.long","E2","S",4,0.5,0.583333333333333,1,0.416666666666667,0.0833333333333333,NA,NA,0,0.857142857142857
"159","10","Rspan.long","E2","S",5,0.8,0.8,1,0.2,0,NA,NA,0,1
"160","10","Rspan.long","E2","S",6,0.388888888888889,0.555555555555556,1,0.444444444444444,0.166666666666667,NA,NA,0,0.7
"161","11","R.pool350","E9pool","D",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"162","11","R.pool350","E9pool","D",4,0.75,0.75,1,0.166666666666667,0,NA,NA,0,1
"163","11","R.pool350","E9pool","D",5,0.666666666666667,0.666666666666667,1,0.2,0,NA,NA,0,1
"164","11","R.pool350","E9pool","D",6,0.611111111111111,0.666666666666667,1,0.333333333333333,0.0555555555555556,NA,NA,0,0.916666666666667
"165","11","R.pool350","E9pool","S",3,1,1,1,0,0,0,0,0,1
"166","11","R.pool350","E9pool","S",4,0.75,0.833333333333333,1,0.166666666666667,0.0833333333333333,NA,NA,0,0.9
"167","11","R.pool350","E9pool","S",5,0.533333333333333,0.666666666666667,1,0.266666666666667,0.133333333333333,NA,NA,0,0.8
"168","11","R.pool350","E9pool","S",6,0.277777777777778,0.5,1,0.555555555555556,0.222222222222222,NA,NA,0,0.555555555555556
"169","12","Ospan.reg","E4","D",3,1,1,1,0,0,0,0,0,1
"170","12","Ospan.reg","E4","D",4,0.5,0.75,1,0.0833333333333333,0.25,NA,NA,0.0833333333333333,0.666666666666667
"171","12","Ospan.reg","E4","D",5,0.666666666666667,0.8,1,0.2,0.133333333333333,NA,NA,0,0.833333333333333
"172","12","Ospan.reg","E4","D",6,0.333333333333333,0.5,1,0.444444444444444,0.166666666666667,NA,NA,0.0555555555555556,0.666666666666667
"173","12","Ospan.reg","E4","S",3,0.666666666666667,0.888888888888889,1,0,0.222222222222222,NA,NA,0,0.75
"174","12","Ospan.reg","E4","S",4,0.75,0.916666666666667,1,0,0.166666666666667,NA,NA,0,0.818181818181818
"175","12","Ospan.reg","E4","S",5,0.6,0.8,1,0.133333333333333,0.2,NA,NA,0,0.75
"176","12","Ospan.reg","E4","S",6,0.277777777777778,0.666666666666667,1,0.277777777777778,0.388888888888889,NA,NA,0,0.416666666666667
"177","12","R.pool350","E9pool","D",3,1,1,1,0,0,NA,NA,0,1
"178","12","R.pool350","E9pool","D",4,0.666666666666667,0.666666666666667,1,0.166666666666667,0,NA,NA,0.0833333333333333,1
"179","12","R.pool350","E9pool","D",5,0.466666666666667,0.733333333333333,1,0.133333333333333,0.266666666666667,NA,NA,0.0666666666666667,0.636363636363636
"180","12","R.pool350","E9pool","D",6,0.722222222222222,0.777777777777778,1,0.166666666666667,0.0555555555555556,NA,NA,0.0555555555555556,0.928571428571428
"181","12","R.pool350","E9pool","S",3,1,1,1,0,0,0,0,0,1
"182","12","R.pool350","E9pool","S",4,1,1,1,0,0,0,0,0,1
"183","12","R.pool350","E9pool","S",5,0.8,0.866666666666667,1,0.0666666666666667,0.0666666666666667,NA,NA,0,0.923076923076923
"184","12","R.pool350","E9pool","S",6,0.555555555555556,0.833333333333333,1,0.166666666666667,0.277777777777778,NA,NA,0,0.666666666666667
"185","12","Rspan.long","E2","D",3,0.555555555555556,0.555555555555556,1,0.333333333333333,0,NA,NA,0.111111111111111,1
"186","12","Rspan.long","E2","D",4,0.583333333333333,0.75,1,0.333333333333333,0.166666666666667,NA,NA,0,0.777777777777778
"187","12","Rspan.long","E2","D",5,0.333333333333333,0.466666666666667,1,0.333333333333333,0.133333333333333,NA,NA,0.133333333333333,0.714285714285714
"188","12","Rspan.long","E2","D",6,0.388888888888889,0.5,1,0.277777777777778,0.111111111111111,NA,NA,0.111111111111111,0.777777777777778
"189","12","Rspan.long","E2","S",3,1,1,1,0,0,0,0,0,1
"190","12","Rspan.long","E2","S",4,0.25,0.583333333333333,1,0.333333333333333,0.333333333333333,NA,NA,0,0.428571428571429
"191","12","Rspan.long","E2","S",5,0.6,0.733333333333333,1,0.266666666666667,0.133333333333333,NA,NA,0,0.818181818181818
"192","12","Rspan.long","E2","S",6,0.333333333333333,0.722222222222222,1,0.222222222222222,0.388888888888889,NA,NA,0,0.461538461538462
"193","13","Ospan.reg","E4","D",3,0.777777777777778,0.777777777777778,1,0.111111111111111,0,NA,NA,0,1
"194","13","Ospan.reg","E4","D",4,1,1,1,0,0,0,0,0,1
"195","13","Ospan.reg","E4","D",5,0.8,0.8,1,0.2,0,NA,NA,0,1
"196","13","Ospan.reg","E4","D",6,0.833333333333333,0.944444444444444,1,0.111111111111111,0.111111111111111,NA,NA,0,0.882352941176471
"197","13","Ospan.reg","E4","S",3,1,1,1,0,0,0,0,0,1
"198","13","Ospan.reg","E4","S",4,0.833333333333333,0.833333333333333,1,0.0833333333333333,0,NA,NA,0,1
"199","13","Ospan.reg","E4","S",5,0.733333333333333,0.866666666666667,1,0.0666666666666667,0.133333333333333,NA,NA,0,0.846153846153846
"200","13","Ospan.reg","E4","S",6,0.722222222222222,0.888888888888889,1,0.0555555555555556,0.166666666666667,NA,NA,0,0.8125
"201","13","R.pool350","E9pool","D",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"202","13","R.pool350","E9pool","D",4,0.583333333333333,0.583333333333333,1,0.333333333333333,0,NA,NA,0,1
"203","13","R.pool350","E9pool","D",5,0.466666666666667,0.533333333333333,1,0.466666666666667,0.0666666666666667,NA,NA,0,0.875
"204","13","R.pool350","E9pool","D",6,0.5,0.611111111111111,1,0.333333333333333,0.111111111111111,NA,NA,0,0.818181818181818
"205","13","R.pool350","E9pool","S",3,1,1,1,0,0,0,0,0,1
"206","13","R.pool350","E9pool","S",4,0.666666666666667,0.666666666666667,1,0.25,0,NA,NA,0,1
"207","13","R.pool350","E9pool","S",5,0.666666666666667,0.733333333333333,1,0.266666666666667,0.0666666666666667,NA,NA,0,0.909090909090909
"208","13","R.pool350","E9pool","S",6,0.333333333333333,0.722222222222222,1,0.222222222222222,0.388888888888889,NA,NA,0,0.461538461538462
"209","13","Rspan.short","E2","D",3,0.888888888888889,0.888888888888889,1,0,0,NA,NA,0,1
"210","13","Rspan.short","E2","D",4,0.25,0.666666666666667,1,0.333333333333333,0.416666666666667,NA,NA,0,0.375
"211","13","Rspan.short","E2","D",5,0,0.466666666666667,1,0.466666666666667,0.466666666666667,NA,NA,0,0
"212","13","Rspan.short","E2","D",6,0.0555555555555556,0.444444444444444,1,0.555555555555556,0.388888888888889,NA,NA,0,0.125
"213","13","Rspan.short","E2","S",3,1,1,1,0,0,0,0,0,1
"214","13","Rspan.short","E2","S",4,0.416666666666667,0.833333333333333,1,0.166666666666667,0.416666666666667,NA,NA,0,0.5
"215","13","Rspan.short","E2","S",5,0.133333333333333,0.6,1,0.333333333333333,0.466666666666667,NA,NA,0,0.222222222222222
"216","13","Rspan.short","E2","S",6,0.166666666666667,0.5,1,0.5,0.333333333333333,NA,NA,0,0.333333333333333
"217","14","Ospan.reg","E4","D",3,1,1,1,0,0,0,0,0,1
"218","14","Ospan.reg","E4","D",4,1,1,1,0,0,0,0,0,1
"219","14","Ospan.reg","E4","D",5,0.8,0.866666666666667,1,0.0666666666666667,0.0666666666666667,NA,NA,0.0666666666666667,0.923076923076923
"220","14","Ospan.reg","E4","D",6,0.277777777777778,0.5,1,0.277777777777778,0.222222222222222,NA,NA,0.222222222222222,0.555555555555556
"221","14","Ospan.reg","E4","S",3,1,1,1,0,0,0,0,0,1
"222","14","Ospan.reg","E4","S",4,0.916666666666667,0.916666666666667,1,0.0833333333333333,0,NA,NA,0,1
"223","14","Ospan.reg","E4","S",5,0.533333333333333,0.666666666666667,1,0.333333333333333,0.133333333333333,NA,NA,0,0.8
"224","14","Ospan.reg","E4","S",6,0.333333333333333,0.666666666666667,1,0.333333333333333,0.333333333333333,NA,NA,0,0.5
"225","14","R.pool350","E9pool","D",3,1,1,1,0,0,0,0,0,1
"226","14","R.pool350","E9pool","D",4,1,1,1,0,0,0,0,0,1
"227","14","R.pool350","E9pool","D",5,0.866666666666667,0.866666666666667,1,0.0666666666666667,0,NA,NA,0,1
"228","14","R.pool350","E9pool","D",6,0.666666666666667,0.722222222222222,1,0.222222222222222,0.0555555555555556,NA,NA,0,0.923076923076923
"229","14","R.pool350","E9pool","S",3,1,1,1,0,0,NA,NA,0,1
"230","14","R.pool350","E9pool","S",4,0.916666666666667,0.916666666666667,1,0.0833333333333333,0,NA,NA,0,1
"231","14","R.pool350","E9pool","S",5,1,1,1,0,0,0,0,0,1
"232","14","R.pool350","E9pool","S",6,0.777777777777778,0.888888888888889,1,0.111111111111111,0.111111111111111,NA,NA,0,0.875
"233","14","Rspan.long","E2","D",3,0.777777777777778,0.888888888888889,1,0,0.111111111111111,NA,NA,0.111111111111111,0.875
"234","14","Rspan.long","E2","D",4,0.75,0.833333333333333,1,0,0.0833333333333333,NA,NA,0.0833333333333333,0.9
"235","14","Rspan.long","E2","D",5,0.333333333333333,0.533333333333333,1,0.333333333333333,0.2,NA,NA,0,0.625
"236","14","Rspan.long","E2","D",6,0.388888888888889,0.555555555555556,1,0.388888888888889,0.166666666666667,NA,NA,0.0555555555555556,0.7
"237","14","Rspan.long","E2","S",3,0.777777777777778,1,1,0,0.222222222222222,0,0.111111111111111,0,0.777777777777778
"238","14","Rspan.long","E2","S",4,1,1,1,0,0,0,0,0,1
"239","14","Rspan.long","E2","S",5,0.533333333333333,0.866666666666667,1,0.0666666666666667,0.333333333333333,NA,NA,0,0.615384615384615
"240","14","Rspan.long","E2","S",6,0.333333333333333,0.666666666666667,1,0.277777777777778,0.333333333333333,NA,NA,0,0.5
"241","15","Ospan.reg","E4","D",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"242","15","Ospan.reg","E4","D",4,0.583333333333333,0.75,1,0.25,0.166666666666667,NA,NA,0,0.777777777777778
"243","15","Ospan.reg","E4","D",5,0.333333333333333,0.533333333333333,1,0.266666666666667,0.2,NA,NA,0.133333333333333,0.625
"244","15","Ospan.reg","E4","D",6,0.277777777777778,0.5,1,0.444444444444444,0.222222222222222,NA,NA,0.0555555555555556,0.555555555555556
